Date,Symbol,Stock_Name,FII_DII_Cash,FII_DII_FNO,Price_Change,Current_Price
2026-09-24,360ONE,360 One Wam Limited,Bought,Sold,3.21%,1108.00
2026-09-24,IDFCFIRSTB,Idfc First Bank Limited,Bought,Bought,2.96%,87.90
2026-09-24,SAIL,Steel Authority of India Limited,Bought,Sold,6.57%,185.44
2026-09-24,KEI,KEI Industries Limited,Bought,Sold,3.22%,4722.50
2026-09-24,PNBHOUSING,Pnb Housing Fin Ltd.,Bought,Bought,1.15%,1138.50
2026-09-24,RADICO,Radico Khaitan Limited,Bought,Sold,3.44%,4601.90
2026-09-24,POLICYBZR,Pb Fintech Limited,Bought,Sold,4.5%,1886.30
2026-09-24,AUBANK,Au Small Finance Bank Ltd,Bought,Sold,1.6%,1053.00
2026-09-24,INDUSINDBK,IndusInd Bank Limited,Bought,Bought,0.45%,959.30
2026-09-24,MOTILALOFS,Motilal Oswal Financial Services Limited,Bought,Bought,3.53%,1042.50
2026-09-24,SUZLON,Suzlon Energy Limited,Sold,Bought,-1.42%,42.39
2026-09-24,UNOMINDA,Uno Minda Limited,Sold,Sold,-0.24%,1223.10
2026-09-24,NATIONALUM,National Aluminium Company Limited,Bought,Bought,3.19%,363.45
2026-09-24,LTF,L&t Finance Limited,Bought,Bought,1.67%,310.00
2026-09-24,KOTAKBANK,Kotak Mahindra Bank Limited,Bought,Bought,0.15%,413.25
2026-09-24,TATASTEEL,Tata Steel Limited,Bought,Bought,3.16%,190.82
2026-09-24,CANBK,Canara Bank,Bought,Bought,2.52%,126.00
2026-09-24,VEDL,Vedanta Limited,Bought,Sold,3.04%,271.00
2026-09-24,MCX,Multi Commodity Exchange of India Limited,Bought,Sold,3.41%,3374.00
2026-09-24,LODHA,Macrotech Developers Ltd,Bought,Sold,1.62%,1162.50
2026-09-24,SONACOMS,Sona Blw Precision Frgs L,Bought,Bought,2.97%,833.00
2026-09-24,PAYTM,One 97 Communications Ltd,Sold,Sold,-2.17%,1775.00
2026-09-24,UNITDSPR,United Spirits Limited,Bought,Sold,3.08%,1441.00
2026-09-24,INDIANB,Indian Bank,Bought,Bought,0.14%,842.00
2026-09-24,ATHERENERG,Ather Energy Limited,Sold,Bought,-2.88%,1499.40
2026-09-24,HAVELLS,Havells India Limited,Bought,Bought,0.7%,1096.50
2026-09-24,BAJFINANCE,Bajaj Finance Limited,Bought,Bought,3.41%,1043.20
2026-09-24,BANDHANBNK,Bandhan Bank Limited,Bought,Sold,3.62%,191.38
2026-09-24,MAHABANK,Bank of Maharashtra,Bought,Sold,2.08%,84.11
2026-09-24,BAJAJFINSV,Bajaj Finserv Limited,Bought,Bought,1.27%,1846.50
2026-09-24,ITC,ITC Limited,Bought,Sold,1.64%,270.15
2026-09-24,JSWENERGY,JSW Energy Limited,Bought,Sold,0.58%,521.00
2026-09-24,ADANIPOWER,Adani Power Limited,Sold,Sold,-1.04%,204.80
2026-09-24,INOXWIND,Inox Wind Limited,Sold,Sold,-3.7%,75.02
2026-09-24,NTPC,NTPC Limited,Sold,Sold,-0.55%,326.00
2026-09-24,DIVISLAB,Divi's Laboratories Limited,Bought,Sold,2.91%,9624.00
2026-09-24,MANAPPURAM,Manappuram Finance Limited,Bought,Sold,0.34%,320.40
2026-09-24,TIINDIA,Tube Invest Of India Ltd,Bought,Bought,0.18%,2578.60
2026-09-24,TVSMOTOR,TVS Motor Company Limited,Sold,Sold,-0.12%,4135.00
2026-09-24,VMM,Vishal Mega Mart Limited,Bought,Bought,1.89%,106.00
2026-09-24,SBILIFE,Sbi Life Insurance Co Ltd,Bought,Sold,0.21%,1760.00
2026-09-24,JSWSTEEL,JSW Steel Limited,Bought,Sold,2.43%,1297.80
2026-09-24,HINDALCO,Hindalco Industries Limited,Bought,Sold,3.17%,1003.80
2026-09-24,PHOENIXLTD,The Phoenix Mills Limited,Bought,Sold,2.04%,1993.20
2026-09-24,GODFRYPHLP,Godfrey Phillips India Limited,Bought,Bought,1.68%,2003.00
