Timestamp,Symbol,Action,Direction,Price,Stop_Loss,Target,Volume_Ratio,Confidence,FII_DII_Signal
2026-07-21 09:30:55,NAUKRI,ENTRY,BUY,1216.00,1193.95,1255.05,4.48,HIGH,BUY
2026-07-22 09:32:00,GODREJCP,ENTRY,SELL,1048.40,1062.60,1026.10,4.39,VERY_HIGH,STRONG_SELL
2026-07-22 09:36:12,TVSMOTOR,ENTRY,BUY,3938.30,3828.00,4098.50,4.26,VERY_HIGH,STRONG_BUY
2026-07-23 09:34:57,APLAPOLLO,ENTRY,BUY,1842.00,1812.00,1883.70,8.03,HIGH,BUY
2026-07-23 09:35:29,BPCL,ENTRY,BUY,315.00,305.10,333.00,4.00,HIGH,BUY
2026-07-24 09:31:15,UNITDSPR,ENTRY,BUY,1443.10,1410.50,1488.00,8.28,HIGH,BUY
2026-07-27 09:30:44,LAURUSLABS,ENTRY,BUY,1663.90,1617.10,1730.70,5.18,VERY_HIGH,STRONG_BUY
2026-07-27 09:31:18,SONACOMS,ENTRY,SELL,720.00,728.80,705.10,3.24,VERY_HIGH,STRONG_SELL
2026-07-27 09:31:19,JUBLFOOD,ENTRY,BUY,424.75,420.45,430.40,3.15,VERY_HIGH,STRONG_BUY
2026-07-27 09:31:51,RECLTD,ENTRY,BUY,366.00,356.90,381.35,6.84,HIGH,BUY
2026-07-27 09:38:07,CHOLAFIN,ENTRY,BUY,1768.10,1743.80,1807.30,5.32,VERY_HIGH,STRONG_BUY
2026-07-28 09:31:22,NATIONALUM,ENTRY,SELL,334.80,340.20,328.60,4.86,VERY_HIGH,STRONG_SELL
2026-07-28 09:31:23,NAUKRI,ENTRY,BUY,1222.55,1198.00,1263.60,5.89,HIGH,BUY
2026-07-28 09:34:31,LODHA,ENTRY,BUY,1269.55,1228.25,1337.00,9.36,VERY_HIGH,STRONG_BUY
2026-07-28 09:36:05,SBICARD,ENTRY,BUY,663.40,644.95,691.60,7.05,HIGH,BUY
2026-07-29 09:30:59,CGPOWER,ENTRY,SELL,828.65,845.20,803.75,5.48,VERY_HIGH,STRONG_SELL
2026-07-29 09:31:15,COALINDIA,ENTRY,SELL,407.00,413.50,396.85,3.89,VERY_HIGH,STRONG_SELL
2026-07-29 09:32:18,BEL,ENTRY,SELL,384.55,390.95,374.40,5.58,VERY_HIGH,STRONG_SELL
2026-07-29 09:32:50,DRREDDY,ENTRY,SELL,1134.40,1144.00,1119.70,3.28,VERY_HIGH,STRONG_SELL
2026-07-29 09:37:01,MFSL,ENTRY,SELL,1501.60,1514.30,1485.50,3.24,VERY_HIGH,STRONG_SELL
2026-07-30 09:32:54,SBILIFE,ENTRY,BUY,1900.70,1882.20,1932.00,2.80,VERY_HIGH,STRONG_BUY
2026-07-30 10:00:02,UNITDSPR,ENTRY,BUY,1530.00,1507.00,1550.50,1.52,HIGH,BUY
2026-07-31 09:31:09,TVSMOTOR,ENTRY,BUY,4258.90,4198.00,4314.00,3.91,VERY_HIGH,STRONG_BUY
2026-07-31 09:32:12,ANGELONE,ENTRY,BUY,297.25,292.50,303.95,3.12,HIGH,BUY
